"","item","cond","line","word","start","end","length","OVP","string"
"308",2,1,7,4,20,28,9,24,"explained"
"309",2,1,7,5,30,32,3,31,"how"
"310",2,1,7,6,34,36,3,35,"the"
"311",2,1,7,7,38,41,4,39,"CBTR"
"312",2,1,7,8,43,47,5,45,"would"
"313",2,1,7,9,49,51,3,50,"use"
"314",2,1,7,10,53,55,3,54,"the"
"315",2,1,7,11,57,61,5,59,"money"
"316",2,1,8,1,1,2,2,1,"to"
"317",2,1,8,2,4,7,4,5,"fund"
"318",2,1,8,3,9,16,8,12,"research"
"319",2,1,8,4,18,20,3,19,"and"
"320",2,1,8,5,22,25,4,23,"help"
"321",2,1,8,6,27,33,7,30,"benefit"
"322",2,1,8,7,35,37,3,36,"the"
"323",2,1,8,8,39,46,8,42,"families"
"324",2,1,8,9,48,49,2,48,"of"
"325",2,1,8,10,51,55,5,53,"those"
"326",2,1,8,11,57,65,9,61,"affected."
"327",2,1,9,1,1,8,8,4,"Finally,"
"328",2,1,9,2,10,12,3,11,"she"
"329",2,1,9,3,14,17,4,15,"went"
"330",2,1,9,4,19,20,2,19,"on"
"331",2,1,9,5,22,23,2,22,"to"
"332",2,1,9,6,25,31,7,28,"discuss"
"333",2,1,9,7,33,35,3,34,"the"
"334",2,1,9,8,37,45,9,41,"long-term"
"335",2,1,9,9,47,51,5,49,"goals"
"336",2,1,9,10,53,54,2,53,"of"
"337",2,1,9,11,56,58,3,57,"the"
"338",2,1,9,12,60,71,12,65,"organisation"
"339",2,1,10,1,1,3,3,2,"and"
"340",2,1,10,2,5,13,9,9,"explained"
"341",2,1,10,3,15,17,3,16,"how"
"342",2,1,10,4,19,23,5,21,"those"
"343",2,1,10,5,25,34,10,29,"interested"
"344",2,1,10,6,36,37,2,36,"in"
"345",2,1,10,7,39,42,4,40,"CBTR"
"346",2,1,10,8,44,48,5,46,"could"
"347",2,1,10,9,50,53,4,51,"give"
"348",2,1,10,10,55,56,2,55,"£5"
"349",2,1,10,11,58,58,1,58,"a"
"350",2,1,10,12,60,64,5,62,"month"
"351",2,1,10,13,66,67,2,66,"to"
"352",2,1,11,1,1,7,7,4,"support"
"353",2,1,11,2,9,11,3,10,"the"
"354",2,1,11,3,13,20,8,16,"charity."
"355",2,3,1,1,1,3,3,2,"The"
"356",2,3,1,2,5,8,4,6,"bake"
"357",2,3,1,3,10,13,4,11,"sale"
"358",2,3,1,4,15,16,2,15,"at"
"359",2,3,1,5,18,20,3,19,"the"
"360",2,3,1,6,22,26,5,24,"local"
"361",2,3,1,7,28,33,6,30,"school"
"362",2,3,1,8,35,40,6,37,"raised"
"363",2,3,1,9,42,42,1,42,"a"
"364",2,3,1,10,44,49,6,46,"record"
"365",2,3,1,11,51,58,8,54,"breaking"
"366",2,3,1,12,60,66,7,63,"£238.47"
"367",2,3,2,1,1,3,3,2,"for"
"368",2,3,2,2,5,7,3,6,"the"
"369",2,3,2,3,9,17,9,13,"Cancerous"
"370",2,3,2,4,19,24,6,21,"Buccal"
"371",2,3,2,5,26,31,6,28,"Tumour"
