"","sub","item","seq","xPos","yPos","x1","x2","y1","y2","fix_num","fix_dur","word_text","word_sent","word_line","line","sent","wordID","word_len","predict","VA","Rtn_sweep","Rtn_sweep_type","prevX","nextX","freq","zipf","LandStartVA","prevVA","undersweep_prob"
"13570","sub06",47,17,281.2,198.7,242,302,154,246,13,200,20,4,2,2,2,"sent",4,0,0.33,1,"accurate",1375,423.3,7038,5.139345107,2.755,30.1,0
"13580","sub06",47,17,306.8,304.9,242,324,246,330,23,119,40,24,2,3,2,"ocean.",5,0.625,0.33,1,"under-sweep",1374.4,241.8,1545,4.481043632,3.395,30.085,1
"13611","sub06",5,18,337.1,293.1,326,408,246,338,20,229,39,17,3,3,4,"there,",5,0,0.33,1,"under-sweep",1296.7,278.8,221754,6.637707563,4.1525,28.1425,1
"13682","sub06",20,20,793,158.9,793,842,154,246,7,142,28,2,7,2,3,"day",3,0.666666667,0.33,1,"accurate",641.4,924.1,40893,5.903493735,15.55,11.76,0
"13795","sub06",22,22,280.4,199.5,266,422,154,246,18,224,22,15,2,2,2,"hiding-place",12,0,0.33,1,"accurate",1340.4,398.9,NA,NA,2.735,29.235,0
"13803","sub06",22,22,274.7,321.4,241,360,246,330,26,114,36,9,2,3,3,"mushroom.",8,0.05,0.33,1,"under-sweep",1288.7,271.4,109,3.333226827,2.5925,27.9425,1
"13894","sub06",55,24,381.6,391,172,313,338,422,43,145,53,29,1,4,2,"well-being",9,0,0.33,1,"accurate",292,500.1,10,2.333226827,5.265,3.025,0
"13922","sub06",34,25,256.9,193.9,172,314,154,246,16,206,17,10,1,2,2,"multiple",8,0,0.33,1,"accurate",1272,403.6,540,4.025031407,2.1475,27.525,0
"13979","sub06",42,26,300.1,292.3,171,339,246,330,29,235,32,18,1,3,2,"deceptively",11,0,0.33,1,"accurate",1238.1,417.9,4,1.990804146,3.2275,26.6775,0
"14067","sub06",14,28,195.1,195.2,172,324,154,246,12,171,16,16,1,2,1,"snowstorm,",9,0.128205128,0.33,1,"accurate",1294.6,260.5,44,2.945046656,0.6025,28.09,0
"14077","sub06",14,28,286.6,289.2,172,302,246,338,22,121,34,6,1,3,2,"campaign",8,0,0.33,1,"under-sweep",1275.8,246.2,856,4.224814964,2.89,27.62,1
"14131","sub06",41,29,292,266.6,242,350,246,330,40,251,36,10,2,3,2,"produces",8,0.05,0.33,1,"accurate",1309.4,509,134,3.422167911,3.025,28.46,0
