"","item","line","word","start","end","length","OVP","string"
"1660",88,2,2,6,9,4,7,"that"
"1661",88,2,3,11,13,3,12,"the"
"1662",88,2,4,15,27,13,21,"incriminating"
"1663",88,2,5,29,36,8,32,"evidence"
"1664",88,2,6,38,42,5,40,"would"
"1665",88,2,7,44,45,2,44,"go"
"1666",88,2,8,47,56,10,51,"unnoticed."
"1667",89,1,1,1,4,4,2,"When"
"1668",89,1,2,6,8,3,7,"the"
"1669",89,1,3,10,14,5,12,"three"
"1670",89,1,4,16,22,7,19,"friends"
"1671",89,1,5,24,30,7,27,"reached"
"1672",89,1,6,32,34,3,33,"the"
"1673",89,1,7,36,41,6,38,"cabin,"
"1674",89,1,8,43,46,4,44,"they"
"1675",89,1,9,48,50,3,49,"sat"
"1676",89,1,10,52,53,2,52,"on"
"1677",89,2,1,1,3,3,2,"the"
"1678",89,2,2,5,9,5,7,"bench"
"1679",89,2,3,11,21,11,16,"overlooking"
"1680",89,2,4,23,25,3,24,"the"
"1681",89,2,5,27,31,5,29,"thick"
"1682",89,2,6,33,39,7,36,"forest."
"1683",90,1,1,1,5,5,3,"After"
"1684",90,1,2,7,11,5,9,"Bella"
"1685",90,1,3,13,15,3,14,"and"
"1686",90,1,4,17,19,3,18,"Tom"
"1687",90,1,5,21,29,9,25,"exchanged"
"1688",90,1,6,31,31,1,31,"a"
"1689",90,1,7,33,35,3,34,"few"
"1690",90,1,8,37,41,5,39,"words"
"1691",90,1,9,43,44,2,43,"of"
"1692",90,1,10,46,54,9,50,"agreement"
"1693",90,2,1,1,5,5,3,"about"
"1694",90,2,2,7,9,3,8,"the"
"1695",90,2,3,11,19,9,15,"contract,"
"1696",90,2,4,21,23,3,22,"she"
"1697",90,2,5,25,30,6,27,"handed"
"1698",90,2,6,32,35,4,33,"over"
"1699",90,2,7,37,38,2,37,"50"
"1700",90,2,8,40,45,6,42,"pounds"
"1701",90,2,9,47,48,2,47,"to"
"1702",90,2,10,50,53,4,51,"him."
"1703",91,1,1,1,3,3,2,"The"
"1704",91,1,2,5,7,3,6,"new"
"1705",91,1,3,9,16,8,12,"cleaning"
"1706",91,1,4,18,21,4,19,"maid"
"1707",91,1,5,23,25,3,24,"had"
"1708",91,1,6,27,30,4,28,"left"
"1709",91,1,7,32,34,3,33,"the"
"1710",91,1,8,36,39,4,37,"back"
"1711",91,1,9,41,44,4,42,"door"
"1712",91,1,10,46,53,8,49,"unlocked"
"1713",91,2,1,1,2,2,1,"as"
"1714",91,2,2,4,6,3,5,"she"
"1715",91,2,3,8,11,4,9,"went"
"1716",91,2,4,13,15,3,14,"out"
"1717",91,2,5,17,18,2,17,"to"
"1718",91,2,6,20,24,5,22,"throw"
"1719",91,2,7,26,29,4,27,"away"
"1720",91,2,8,31,33,3,32,"the"
"1721",91,2,9,35,42,8,38,"rubbish."
"1722",92,1,1,1,3,3,2,"The"
"1723",92,1,2,5,13,9,9,"attending"
"1724",92,1,3,15,20,6,17,"doctor"
"1725",92,1,4,22,25,4,23,"held"
"1726",92,1,5,27,29,3,28,"his"
"1727",92,1,6,31,35,5,33,"metal"
"1728",92,1,7,37,39,3,38,"pen"
"1729",92,1,8,41,45,5,43,"torch"
"1730",92,1,9,47,51,5,49,"close"
"1731",92,1,10,53,54,2,53,"to"
"1732",92,2,1,1,3,3,2,"the"
"1733",92,2,2,5,13,9,9,"patient's"
"1734",92,2,3,15,18,4,16,"face"
"1735",92,2,4,20,21,2,20,"to"
"1736",92,2,5,23,26,4,24,"test"
"1737",92,2,6,28,30,3,29,"her"
"1738",92,2,7,32,40,9,36,"pupillary"
"1739",92,2,8,42,51,10,46,"responses."
"1740",93,1,1,1,2,2,1,"Ed"
"1741",93,1,2,4,7,4,5,"rose"
"1742",93,1,3,9,10,2,9,"up"
"1743",93,1,4,12,17,6,14,"meekly"
"1744",93,1,5,19,21,3,20,"and"
"1745",93,1,6,23,29,7,26,"quietly"
"1746",93,1,7,31,32,2,31,"to"
"1747",93,1,8,34,39,6,36,"follow"
"1748",93,1,9,41,43,3,42,"his"
"1749",93,1,10,45,47,3,46,"new"
"1750",93,1,11,49,53,5,51,"tutor"
"1751",93,2,1,1,3,3,2,"who"
"1752",93,2,2,5,7,3,6,"had"
"1753",93,2,3,9,12,4,10,"just"
"1754",93,2,4,14,17,4,15,"come"
"1755",93,2,5,19,22,4,20,"from"
"1756",93,2,6,24,24,1,24,"a"
"1757",93,2,7,26,37,12,31,"neighbouring"
"1758",93,2,8,39,43,5,41,"town."
"1759",94,1,1,1,2,2,1,"He"
"1760",94,1,2,4,10,7,7,"assured"
"1761",94,1,3,12,15,4,13,"them"
"1762",94,1,4,17,19,3,18,"one"
"1763",94,1,5,21,24,4,22,"more"
"1764",94,1,6,26,29,4,27,"time"
"1765",94,1,7,31,34,4,32,"that"
